City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,saipan,15.1355,145.701,30.39,70,40,7.72,MP,1712889349
83,harper,4.375,-7.7169,26.1,88,100,2.45,LR,1712889349
84,vuktyl,63.8567,57.3094,0.62,96,100,7.6,RU,1712889198
85,kalininskaya,45.4822,38.6628,12.91,71,99,2.9,RU,1712889350
86,port elizabeth,-33.918,25.5701,15.16,73,100,4.63,ZA,1712889350
87,la passe,45.5549,-0.8967,11.1,93,9,3.03,FR,1712889350
88,saint-pierre,-21.3393,55.4781,25.82,69,0,2.57,RE,1712889350
89,nicoya,10.1483,-85.452,28.05,71,73,4.61,CR,1712889350
90,roma,43.2128,-75.4557,16.6,92,100,7.72,US,1712889350
91,whitehorse,60.7161,-135.0538,6.43,28,75,7.72,CA,1712889350
92,east london,-33.0153,27.9116,15.3,66,68,6.29,ZA,1712889350
93,vilhena,-12.7406,-60.1458,21.55,99,100,1.82,BR,1712889350
94,ribeira grande,38.5167,-28.7,15.99,94,5,0.89,PT,1712889350
95,fort bragg,35.139,-79.006,21.91,84,75,7.72,US,1712889350
96,hillsboro,45.5229,-122.9898,13.66,65,100,3.6,US,1712889071
97,khilok,51.3674,110.4676,9.48,43,100,2.65,RU,1712889350
98,pacific grove,36.6177,-121.9166,18.45,74,0,2.57,US,1712889088
99,qaqortoq,60.7167,-46.0333,-8.36,86,15,2.79,GL,1712889350
100,lazaro cardenas,17.9583,-102.2,23.67,83,7,1.28,MX,1712889350
101,zelenoborskiy,66.845,32.3622,-0.23,84,90,4.9,RU,1712889350
102,ust-nera,64.5667,143.2,-2.35,83,67,2.9,RU,1712889138
103,salinopolis,-0.6136,-47.3561,26.74,89,99,2.94,BR,1712889351
104,pisco,-13.7,-76.2167,22.03,83,0,3.6,PE,1712889245
105,bredasdorp,-34.5322,20.0403,12.39,77,35,2.92,ZA,1712889351
106,jatai,-17.8814,-51.7144,21.36,91,100,0.62,BR,1712889351
107,vikulovo,56.8167,70.6107,1.14,75,100,8.6,RU,1712889351
108,nemuro,43.3236,145.575,5.43,93,100,7.11,JP,1712889351
109,san-pedro,4.7485,-6.6363,24.84,92,100,1.67,CI,1712889351
110,prince rupert,54.3161,-130.3201,7.05,68,0,4.63,CA,1712889351
111,happy valley-goose bay,53.3168,-60.3315,8.17,46,75,7.72,CA,1712889351
112,saynshand,44.8824,110.1163,15.32,29,88,3.28,MN,1712889351
113,dolores,-36.3132,-57.6792,11.87,61,100,3.39,AR,1712888840
114,shihezi,44.3,86.0333,14.84,49,100,2.22,CN,1712889351
115,stanley,54.868,-1.6985,11.51,86,75,5.66,GB,1712889352
116,st. john's,47.5649,-52.7093,1.65,79,0,8.75,CA,1712889352
117,pudasjarvi,65.3833,26.9167,0.03,98,100,2.01,FI,1712889352
118,vadso,70.0744,29.7487,0.49,80,75,5.66,NO,1712889352
119,papatowai,-46.5619,169.4708,9.55,65,92,2.03,NZ,1712889352
120,hadibu,12.65,54.0333,27.33,76,47,2.02,YE,1712889352
121,laojunmiao,39.8333,97.7333,16.26,10,47,3.43,CN,1712889352
122,bilibino,68.0546,166.4372,-7.24,72,85,1.94,RU,1712889352
123,el granada,37.5027,-122.4694,19.88,77,0,9.77,US,1712889352
124,dudinka,69.4058,86.1778,-24.07,97,46,4.92,RU,1712889352
125,bougouni,11.417,-7.479,29.82,45,82,1.46,ML,1712889352
126,yatou,37.15,122.3833,18.93,55,95,6.36,CN,1712889352
127,port saint john's,-31.6229,29.5448,14.66,65,11,5.78,ZA,1712889352
128,wuwei,37.9281,102.6414,17.63,22,92,3.77,CN,1712889352
129,okigwe,5.8352,7.3599,25.97,85,100,2.78,NG,1712889353
130,vrangel',42.7297,133.0839,8.59,81,14,3.58,RU,1712889084
131,bonito,-21.1211,-56.4819,23.03,90,100,0.84,BR,1712889353
132,mount pearl,47.5166,-52.7813,1.19,79,0,8.75,CA,1712889353
133,tabou,4.423,-7.3528,25.67,92,100,2.62,CI,1712889353
134,enewetak,11.3474,162.3373,26.84,80,80,8.92,MH,1712889353
